,uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration,h/s
35481,spotify:track:3CqMuOh8kuc4hrHZrvuDBc,0.953,0.175,0.489,0.127,9,1.39e-06,0.0736,-12.14,0.0554,127.577,300632,s
35482,spotify:track:10bt2wAkFgCWRCEOyAyWT9,0.513,0.09,0.536,0.708,6,0.0,0.0951,-7.882,0.758,78.33,322587,s
35483,spotify:track:2QDMQcbiWYlyuLa9wFnnBX,0.969,0.253,0.535,0.115,10,6.17e-06,0.175,-15.097,0.0526,129.117,270462,s
35484,spotify:track:7qEHsqek33rTcFNT9PFqLf,0.751,0.446,0.501,0.405,1,0.0,0.105,-5.679,0.0319,109.891,182161,s
35485,spotify:track:3i5qVV8azKqGFK4Gzdt5YS,0.659,0.245,0.551,0.386,0,0.0,0.125,-10.22,0.132,116.409,199387,s
35486,spotify:track:5a6pdCHlWS2ekOOQ70QnAr,0.868,0.321,0.708,0.186,9,0.0,0.0779,-8.953,0.0422,72.541,156107,s
35487,spotify:track:5qrSlOut2rNAWv3ubArkNy,0.705,0.493,0.551,0.537,11,0.0,0.0802,-7.595,0.034,126.421,196493,s
35488,spotify:track:41WTP0gosjYD74B06uS2tL,0.905,0.289,0.531,0.347,0,0.0,0.0935,-7.044,0.0345,114.441,224743,s
35489,spotify:track:3bne7Qit5AbHkX6kWDItYP,0.745,0.0747,0.499,0.181,9,0.00123,0.106,-15.359,0.0429,111.956,214533,s
35490,spotify:track:4WzhjxvLP95y7AMDy0Atwb,0.8,0.137,0.481,0.267,7,0.0,0.249,-9.249,0.0339,117.64,227693,s
35491,spotify:track:27r2uANqwK7XbsiAZnzf9e,0.922,0.355,0.52,0.119,0,0.0,0.0883,-12.148,0.0407,69.217,202496,s
35492,spotify:track:5kcvBnt6DPX3AMEsCx1qDh,0.885,0.356,0.501,0.167,1,0.0,0.111,-14.061,0.0484,112.275,228443,s
35493,spotify:track:38nKfxyRrjYfx0ODX1W5yB,0.591,0.25,0.613,0.347,5,0.0,0.0959,-6.486,0.034,109.764,224144,s
35494,spotify:track:06qUEhhx6jKQmhj2qAkn4H,0.95,0.342,0.561,0.0587,5,0.0,0.0828,-17.819,0.0762,143.027,222468,s
35495,spotify:track:3JfHYZKy5JmE5Fv4gDTCiz,0.949,0.346,0.703,0.179,4,0.0,0.102,-10.906,0.0366,97.427,199131,s
35496,spotify:track:2is19a6HY7ZdWP654IMhEE,0.907,0.483,0.402,0.151,4,0.0,0.0941,-14.227,0.0395,144.293,238013,s
35497,spotify:track:5sF7hdYvhrcgNq8NZjfK8L,0.964,0.219,0.405,0.111,0,4.37e-05,0.0872,-11.879,0.0369,116.86,189475,s
35498,spotify:track:4g2WiijzSKzH8PApKDbadN,0.955,0.18,0.415,0.104,0,3.79e-06,0.104,-11.83,0.0426,82.006,256300,s
35499,spotify:track:58wyJLv6yH1La9NIZPl3ne,0.894,0.124,0.522,0.128,4,0.026,0.0941,-18.717,0.0357,109.986,187932,s
35500,spotify:track:5zT5cMnMKoyruPj13TQXGx,0.862,0.234,0.389,0.302,7,0.00567,0.104,-12.485,0.0438,124.956,273000,s
35501,spotify:track:1AvTywVswvftxfT8iYTuxr,0.939,0.228,0.515,0.201,8,1.29e-06,0.0889,-10.866,0.0569,74.21,193628,s
35502,spotify:track:6L4F4btXioJPhEwz6T7YYt,0.494,0.462,0.804,0.479,11,0.0,0.0994,-6.661,0.0321,120.0,228484,s
35503,spotify:track:4KlL5Bwlm4yHYxr0B2rHci,0.952,0.119,0.444,0.179,1,0.00056,0.107,-12.938,0.0396,72.255,193080,s
35504,spotify:track:2VlLbhGLVJgdOW7kKdWWFc,0.807,0.157,0.576,0.307,11,0.000355,0.0792,-12.732,0.0428,67.513,189613,s
35505,spotify:track:54KFQB6N4pn926IUUYZGzK,0.885,0.0735,0.264,0.122,9,0.349,0.094,-15.399,0.0349,148.658,371320,s
35506,spotify:track:6gDXbcILAyBa2skSdbUYq7,0.775,0.143,0.327,0.295,4,0.0,0.107,-6.907,0.0313,148.574,243373,s
35507,spotify:track:70CYAL35X3T73qVStJNpZ2,0.889,0.135,0.33,0.21,4,1.1e-05,0.0784,-10.808,0.0307,128.157,259107,s
35508,spotify:track:2dHAkrR6F78HeEgogDThyd,0.922,0.529,0.546,0.138,3,1.45e-06,0.105,-14.458,0.0665,136.063,226323,s
35509,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,0.839,0.0592,0.567,0.267,4,1.46e-06,0.089,-6.502,0.0299,110.011,240133,s
35510,spotify:track:395KzBy0bkb57dEvg6cfzJ,0.79,0.164,0.3,0.347,6,2.14e-06,0.111,-9.542,0.0364,169.361,211653,s
35511,spotify:track:6CcJMwBtXByIz4zQLzFkKc,0.952,0.12,0.421,0.131,0,0.00453,0.109,-18.435,0.0382,137.446,291796,s
35512,spotify:track:6w8pFOKn42O418qwcQElZ3,0.183,0.343,0.518,0.729,11,0.0,0.0643,-7.193,0.0452,156.879,240013,s
35513,spotify:track:47EWMOElkkbMp5m9SBkx7d,0.884,0.191,0.629,0.306,1,0.0776,0.124,-11.735,0.0424,76.994,184638,s
35514,spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,0.761,0.381,0.629,0.327,11,2.96e-05,0.103,-8.285,0.029,74.953,197732,s
35515,spotify:track:1y5T2ldJGZMIXNysmW0K4i,0.966,0.199,0.373,0.0221,0,1.28e-05,0.0748,-25.893,0.0748,168.27,232012,s
